Archivo Fuente,Entidad,Fecha,Caja Ahorro M/L Nominal,Caja Ahorro M/L Efectiva,Caja Ahorro M/E Nominal,Caja Ahorro M/E Efectiva,CDA <= 180 M/L Nominal,CDA <= 180 M/L Efectiva,CDA <= 180 M/E Nominal,CDA <= 180 M/E Efectiva,CDA <= 365 M/L Nominal,CDA <= 365 M/L Efectiva,CDA <= 365 M/E Nominal,CDA <= 365 M/E Efectiva,CDA > 365 M/L Nominal,CDA > 365 M/L Efectiva,CDA > 365 M/E Nominal,CDA > 365 M/E Efectiva
FINANCIERAS-Enero-2025.pdf,Financiera Paraguayo - Japonesa S.A.E.C.A.,F012025,"0,01|0,50","0,01|0,50","0,01|0,35","0,01|0,35","1,00|1,50","1,00|1,51","-|-","-|-","2,00|4,00","2,02|4,06","1,50|2,00","1,51|2,02","4,00|6,00","4,06|6,14","2,00|3,50","2,02|3,55"
FINANCIERAS-Enero-2025.pdf,Finlatina S.A. de Finanzas,F012025,"0,13|0,20","0,13|0,34","0,03|0,03","0,03|0,03","2,50|5,96","3,69|6,11","0,80|2,00","0,80|2,02","3,50|6,72","5,13|6,93","1,70|4,87","6,93|4,98","5,00|7,99","7,25|8,29","3,30|6,10","3,40|6,28"
FINANCIERAS-Enero-2025.pdf,Tu Financiera S.A.,F012025,"0,10|0,30","0,10|0,30","0,01|0,30","0,01|0,30","2,00|4,00","2,02|4,07","0,30|1,10","0,30|1,11","4,00|4,89","4,07|5,00","3,00|3,93","3,04|4,00","7,10|8,55","7,34|8,89","3,55|5,00","3,61|5,12"
FINANCIERAS-Enero-2025.pdf,FIC S.A. de Finanzas,F012025,"0,01|0,20","0,01|0,20","0,01|0,20","0,01|0,20","1,00|5,79","1,00|5,95","1,00|1,97","1,00|1,99","5,80|6,08","5,96|6,25","1,98|3,33","2,00|3,38","6,09|8,00","6,26|8,30","3,34|5,76","3,39|5,91"
BANCOS-Enero-2025.pdf,Banco Nacional de Fomento,F012025,"0,37|0,57","0,37|0,57","0,15|0,32","0,15|0,32","2,43|3,45","2,46|3,48","2,34|2,50","2,37|2,52","3,67|5,45","3,73|5,45","2,69|3,25","2,72|3,25","5,46|6,95","5,60|6,95","3,15|4,50","3,20|4,50"
BANCOS-Enero-2025.pdf,Banco de la Nación Argentina,F012025,"-|0,50","-|0,50","-|0,12","-|0,12","3,00|4,00","3,00|4,00","0,80|1,20","0,80|1,20","5,00|5,00","5,00|5,00","1,80|2,30","1,80|2,30","7,00|7,00","7,00|7,00","3,00|5,00","3,00|5,00"
BANCOS-Enero-2025.pdf,Banco GNB Paraguay S.A.,F012025,"-|0,01","-|0,01","-|0,01","-|0,01","2,50|4,00","2,53|4,07","1,05|1,50","1,06|1,51","4,00|5,00","4,07|5,13","1,50|2,00","1,51|2,02","5,00|6,00","5,13|6,18","2,00|3,00","2,02|3,04"
BANCOS-Enero-2025.pdf,Banco Do Brasil S.A.,F012025,"0,01|0,70","0,01|0,70","0,01|0,25","0,01|0,25","1,00|4,50","1,00|4,59","0,80|3,20","0,80|3,25","1,00|5,00","1,00|5,12","0,80|3,80","0,80|3,87","1,00|5,50","1,00|5,64","0,80|4,00","0,80|4,07"
BANCOS-Enero-2025.pdf,Citibank N.A.,F012025,"0,05|0,35","0,05|0,35","0,01|0,12","0,01|0,12","0,76|1,25","0,76|1,25","0,71|1,00","0,71|1,00","1,26|2,00","1,26|2,00","1,01|1,50","1,01|1,51","2,01|2,25","2,01|2,25","1,51|2,00","1,52|2,02"
BANCOS-Enero-2025.pdf,Sudameris Bank S.A.E.C.A.,F012025,"-|0,10","-|0,10","-|0,10","-|0,10","-|2,00","-|2,02","-|1,50","-|1,51","-|3,00","-|3,04","-|2,25","-|2,27","-|5,50","-|5,64","-|3,00","-|3,04"
BANCOS-Enero-2025.pdf,Banco Itaú Paraguay S.A.,F012025,"0,01|4,91","0,01|5,02","0,01|3,22","0,01|3,27","5,43|5,51","5,57|5,65","3,93|4,00","4,00|4,07","5,51|5,77","5,65|5,93","4,00|4,04","4,07|4,12","5,87|6,22","6,03|6,40","4,04|4,26","4,12|4,34"
BANCOS-Enero-2025.pdf,Banco Continental S.A.E.C.A.,F012025,"-|0,22","-|0,22","-|0,18","-|0,18","3,50|4,25","3,56|4,33","2,50|3,50","2,52|3,56","6,40|6,40","6,59|6,59","2,75|3,75","2,75|3,82","5,30|5,50","5,43|5,64","3,55|4,50","3,55|4,59"
BANCOS-Enero-2025.pdf,Banco BASA S.A.,F012025,"-|0,01","-|0,01","-|0,01","-|0,01","-|4,54","-|4,64","-|4,07","-|4,15","-|4,58","-|4,68","-|4,06","-|4,14","-|6,03","-|6,20","-|4,33","-|4,42"
BANCOS-Enero-2025.pdf,Banco Rio S.A.E.C.A.,F012025,"0,25|0,25","0,25|0,25","0,25|0,25","0,25|0,25","0,25|5,00","0,25|5,09","0,25|4,00","0,25|4,06","3,50|7,25","3,55|7,45","4,50|5,25","4,58|5,35","6,50|7,50","6,66|7,71","5,25|6,25","5,35|6,40"
BANCOS-Enero-2025.pdf,Banco Familiar S.A.E.C.A.,F012025,"0,05|0,05","0,05|0,05","0,01|0,01","0,01|0,01","1,65|3,15","1,66|3,20","1,50|2,25","1,51|2,27","1,65|3,80","1,66|3,87","1,50|2,50","1,51|2,53","5,75|7,00","5,90|7,23","3,65|5,05","3,71|5,17"
BANCOS-Enero-2025.pdf,Banco Atlas S.A.,F012025,"0,05|0,10","0,05|0,10","0,01|0,03","0,01|0,03","0,05|4,06","0,05|4,14","0,01|3,59","0,01|3,65","0,05|4,10","0,05|4,18","0,01|3,59","0,01|3,65","0,05|5,47","0,05|5,61","0,01|3,86","0,01|3,93"
BANCOS-Enero-2025.pdf,Bancop S.A.,F012025,"0,10|0,35","0,10|0,35","0,05|0,15","0,05|0,15","1,00|5,60","1,00|5,75","0,50|3,10","0,50|3,14","1,00|7,50","1,00|7,76","0,50|5,25","0,50|5,38","5,60|7,90","5,75|8,19","3,10|5,70","3,14|5,85"
BANCOS-Enero-2025.pdf,Interfisa Banco S.A.E.C.A.,F012025,"0,15|0,87","0,15|0,87","0,04|0,72","0,04|0,72","2,50|6,02","2,53|6,20","0,10|4,25","0,10|4,34","4,00|6,56","4,08|6,78","0,30|4,67","0,30|4,78","5,50|7,44","5,65|7,72","2,15|5,61","2,17|5,77"
BANCOS-Enero-2025.pdf,Banco Solar S.A.E.,F012025,"0,15|3,50","0,15|3,56","0,10|2,00","0,10|2,02","2,00|4,00","2,02|4,07","2,00|3,75","2,02|3,82","6,25|6,85","6,43|7,07","3,55|5,00","3,61|5,12","6,50|7,50","6,70|7,76","5,00|5,85","5,12|6,01"
BANCOS-Enero-2025.pdf,UENO Bank S.A.,F012025,"0,01|0,25","0,01|0,25","0,01|0,10","0,01|0,10","0,90|4,50","0,90|4,59","0,75|2,20","0,75|2,22","4,75|7,25","4,85|7,50","3,05|6,00","3,09|6,17","7,25|8,40","7,50|8,73","6,00|6,78","6,17|6,99"
BANCOS-Enero-2025.pdf,ZETA Banco S.A.E.C.A.,F012025,"0,05|0,50","0,05|0,50","0,05|0,50","0,05|0,50","0,50|4,00","0,50|4,07","1,00|3,50","1,00|3,56","2,00|6,00","2,02|6,17","1,00|4,00","1,00|4,07","3,00|8,50","3,04|8,84","2,00|5,50","2,02|5,64"
FINANCIERAS-Febrero-2025.pdf,Financiera Paraguayo - Japonesa S.A.E.C.A.,F022025,"0,01|0,50","0,01|0,50","0,01|0,35","0,01|0,35","1,00|1,50","1,00|1,51","-|-","-|-","2,00|4,00","2,02|4,06","1,50|2,00","1,51|2,02","4,00|6,00","4,06|6,14","2,00|3,50","2,02|3,55"
FINANCIERAS-Febrero-2025.pdf,Finlatina S.A. de Finanzas,F022025,"0,13|0,20","0,13|0,34","0,03|0,03","0,03|0,03","2,50|5,96","3,69|6,11","0,80|2,00","0,80|2,02","3,50|6,72","5,13|6,93","1,70|4,87","1,80|4,98","5,00|7,99","7,25|8,29","3,30|6,10","3,40|6,28"
FINANCIERAS-Febrero-2025.pdf,Tu Financiera S.A.,F022025,"0,10|0,30","0,10|0,30","0,01|0,30","0,01|0,30","2,00|4,00","2,02|4,07","0,30|1,10","0,30|1,11","4,00|4,89","4,07|5,00","3,00|3,93","3,04|4,00","7,10|8,55","7,34|8,89","3,55|5,00","3,61|5,12"
FINANCIERAS-Febrero-2025.pdf,FIC S.A. de Finanzas,F022025,"0,01|0,19","0,01|0,19","0,01|0,18","0,01|0,18","1,00|4,98","1,00|5,10","1,00|1,97","1,00|1,99","4,99|4,67","5,11|4,77","1,98|5,38","2,00|5,51","4,78|8,00","4,89|8,30","5,39|6,00","5,53|6,17"
BANCOS-Febrero-2025.pdf,Banco Nacional de Fomento,F022025,"0,37|0,57","0,37|0,57","0,15|0,32","0,15|0,32","2,43|3,45","2,46|3,48","2,34|2,50","2,37|2,52","3,67|5,45","3,73|5,45","2,69|3,25","2,72|3,25","5,46|6,95","5,60|6,95","3,15|4,50","3,20|4,50"
BANCOS-Febrero-2025.pdf,Banco de la Nación Argentina,F022025,"-|0,50","-|0,50","-|0,12","-|0,12","3,00|4,00","3,00|4,00","0,80|1,20","0,80|1,20","5,00|5,00","5,00|5,00","1,80|2,30","1,80|2,30","7,00|7,00","7,00|7,00","3,00|5,00","3,00|5,00"
BANCOS-Febrero-2025.pdf,Banco GNB Paraguay S.A.,F022025,"-|0,01","-|0,01","-|0,01","-|0,01","2,50|4,00","2,53|4,07","1,05|1,50","1,06|1,51","4,00|5,00","4,07|5,13","1,50|2,00","1,51|2,02","5,00|6,00","5,13|6,18","2,00|3,00","2,02|3,04"
BANCOS-Febrero-2025.pdf,Banco Do Brasil S.A.,F022025,"0,01|0,70","0,01|0,70","0,01|0,25","0,01|0,25","1,00|4,50","1,00|4,59","0,80|3,20","0,80|3,25","1,00|5,00","1,00|5,12","0,80|3,80","0,80|3,87","1,00|5,50","1,00|5,64","0,80|4,00","0,80|4,07"
BANCOS-Febrero-2025.pdf,Citibank N.A.,F022025,"0,05|0,35","0,05|0,35","0,01|0,12","0,01|0,12","0,76|1,25","0,76|1,25","0,71|1,00","0,71|1,00","1,26|2,00","1,26|2,00","1,01|1,50","1,01|1,51","2,01|2,25","2,01|2,25","1,51|2,00","1,52|2,02"
BANCOS-Febrero-2025.pdf,Sudameris Bank S.A.E.C.A.,F022025,"-|0,10","-|0,10","-|0,10","-|0,10","-|2,00","-|2,02","-|1,50","-|1,51","-|3,00","-|3,04","-|2,25","-|2,27","-|5,50","-|5,64","-|3,00","-|3,04"
BANCOS-Febrero-2025.pdf,Banco Itaú Paraguay S.A.,F022025,"0,01|4,91","0,01|5,02","0,01|3,22","0,01|3,27","5,36|5,37","5,49|5,50","3,93|4,01","4,00|4,08","5,44|5,77","5,58|5,93","4,08|4,17","4,16|4,25","5,87|6,22","6,03|6,40","4,31|4,54","4,40|4,64"
BANCOS-Febrero-2025.pdf,Banco Continental S.A.E.C.A.,F022025,"-|0,22","-|0,22","-|0,18","-|0,18","3,50|4,25","3,56|4,33","2,50|3,50","2,52|3,56","6,30|6,40","6,49|6,59","2,75|3,75","2,75|3,82","5,30|5,50","5,43|5,64","3,55|4,50","3,55|4,59"
BANCOS-Febrero-2025.pdf,Banco BASA S.A.,F022025,"-|0,01","-|0,01","-|0,01","-|0,01","-|4,54","-|4,64","-|4,07","-|4,15","-|4,58","-|4,68","-|4,06","-|4,14","-|6,03","-|6,20","-|4,33","-|4,42"
BANCOS-Febrero-2025.pdf,Banco Rio S.A.E.C.A.,F022025,"0,25|0,25","0,25|0,25","0,25|0,25","0,25|0,25","0,25|5,00","0,25|5,09","0,25|4,00","0,25|4,06","3,50|7,25","3,55|7,45","4,50|5,25","4,58|5,35","6,50|7,50","6,66|7,71","5,25|6,25","5,35|6,40"
BANCOS-Febrero-2025.pdf,Banco Familiar S.A.E.C.A.,F022025,"0,05|0,05","0,05|0,05","0,01|0,01","0,01|0,01","1,65|3,15","1,66|3,20","1,50|2,25","1,51|2,27","1,65|3,80","1,66|3,87","1,50|2,50","1,51|2,53","5,75|7,00","5,90|7,23","3,65|5,05","3,71|5,17"
BANCOS-Febrero-2025.pdf,Banco Atlas S.A.,F022025,"0,05|0,10","0,05|0,10","0,01|0,03","0,01|0,03","0,05|4,06","0,05|4,14","0,01|3,59","0,01|3,65","0,05|4,10","0,05|4,18","0,01|3,59","0,01|3,65","0,05|5,47","0,05|5,61","0,01|3,86","0,01|3,93"
BANCOS-Febrero-2025.pdf,Bancop S.A.,F022025,"0,10|0,35","0,10|0,35","0,05|0,15","0,05|0,15","1,00|5,60","1,00|5,75","0,50|3,10","0,50|3,14","1,00|7,50","1,00|7,76","0,50|5,25","0,50|5,38","5,60|7,90","5,75|8,19","3,10|5,70","3,14|5,85"
BANCOS-Febrero-2025.pdf,Interfisa Banco S.A.E.C.A.,F022025,"0,15|1,05","0,15|1,06","0,04|0,60","0,04|0,60","2,50|5,23","2,53|5,37","0,10|3,81","0,10|3,88","4,00|6,82","4,08|7,06","0,30|4,48","0,30|4,58","5,50|8,56","5,65|8,94","2,15|5,76","2,17|5,93"
BANCOS-Febrero-2025.pdf,Banco Solar S.A.E.,F022025,"0,15|3,50","0,15|3,56","0,10|2,00","0,10|2,02","1,75|4,75","1,76|4,85","1,75|3,50","1,76|3,56","6,15|7,00","6,33|7,23","3,30|4,75","3,35|4,85","6,50|7,60","6,70|7,87","4,75|5,50","4,85|4,96"
BANCOS-Febrero-2025.pdf,UENO Bank S.A.,F022025,"0,01|0,25","0,01|0,25","0,01|0,10","0,01|0,10","0,90|4,50","0,90|4,59","0,75|2,20","0,75|2,22","4,75|7,25","4,85|7,50","3,05|5,85","3,09|6,01","7,25|8,40","7,50|8,73","6,00|6,78","6,17|6,99"
BANCOS-Febrero-2025.pdf,ZETA Banco S.A.E.C.A.,F022025,"0,05|0,50","0,05|0,50","0,05|0,50","0,05|0,50","0,50|4,00","0,50|4,07","1,00|3,50","1,00|3,56","2,00|6,00","2,02|6,17","1,00|4,00","1,00|4,07","3,00|8,50","3,04|8,84","2,00|5,50","2,02|5,64"
FINANCIERAS-Marzo-2025.pdf,Financiera Paraguayo - Japonesa S.A.E.C.A.,F032025,"0,01|0,50","0,01|0,50","0,01|0,35","0,01|0,35","1,00|1,50","1,00|1,51","-|-","-|-","2,00|4,00","2,02|4,06","1,50|2,00","1,51|2,02","4,00|6,00","4,06|6,14","2,00|3,50","2,02|3,55"
FINANCIERAS-Marzo-2025.pdf,Finlatina S.A. de Finanzas,F032025,"0,13|0,20","0,13|0,34","0,03|0,03","0,03|0,03","2,50|5,96","3,69|6,11","0,80|2,00","0,80|2,02","3,50|6,72","5,13|6,93","1,70|4,87","1,80|4,98","5,00|7,99","7,25|8,29","3,30|6,10","3,40|6,28"
FINANCIERAS-Marzo-2025.pdf,Tu Financiera S.A.,F032025,"0,10|0,30","0,10|0,30","0,01|0,30","0,01|0,30","2,00|4,00","2,02|4,07","0,30|1,10","0,30|1,11","4,00|4,89","4,07|5,00","3,00|3,93","3,04|4,00","7,10|8,55","7,34|8,89","3,55|5,00","3,61|5,12"
FINANCIERAS-Marzo-2025.pdf,FIC S.A. de Finanzas,F032025,"0,01|0,02","0,01|0,02","0,01|0,25","0,01|0,25","1,00|5,75","1,00|5,90","1,00|1,97","1,00|1,99","5,76|5,95","5,91|6,11","1,98|3,24","2,00|3,29","5,96|8,10","6,13|8,41","3,25|6,10","3,30|6,27"
BANCOS-Marzo-2025.pdf,Banco Nacional de Fomento,F032025,"0,37|0,57","0,37|0,57","0,15|0,32","0,15|0,32","2,43|3,45","2,46|3,48","2,34|2,50","2,37|2,52","3,67|5,45","3,73|5,45","2,69|3,25","2,72|3,25","5,46|6,95","5,60|6,95","3,15|4,50","3,20|4,50"
BANCOS-Marzo-2025.pdf,Banco de la Nación Argentina,F032025,"-|0,50","-|0,50","-|0,12","-|0,12","3,00|4,00","3,00|4,00","0,80|1,20","0,80|1,20","5,00|5,00","5,00|5,00","1,80|2,30","1,80|2,30","7,00|7,00","7,00|7,00","3,00|5,00","3,00|5,00"
BANCOS-Marzo-2025.pdf,Banco GNB Paraguay S.A.,F032025,"-|0,01","-|0,01","-|0,01","-|0,01","2,50|4,00","2,53|4,07","1,05|1,50","1,06|1,51","4,00|5,00","4,07|5,13","1,50|2,00","1,51|2,02","5,00|6,00","5,13|6,18","2,00|3,00","2,02|3,04"
BANCOS-Marzo-2025.pdf,Banco Do Brasil S.A.,F032025,"0,01|0,70","0,01|0,70","0,01|0,25","0,01|0,25","1,00|4,50","1,00|4,59","0,80|3,20","0,80|3,25","1,00|5,00","1,00|5,12","0,80|3,80","0,80|3,87","1,00|5,50","1,00|5,64","0,80|4,00","0,80|4,07"
BANCOS-Marzo-2025.pdf,Citibank N.A.,F032025,"0,05|0,35","0,05|0,35","0,01|0,12","0,01|0,12","0,76|1,25","0,76|1,25","0,71|1,00","0,71|1,00","1,26|2,00","1,26|2,00","1,01|1,50","1,01|1,51","2,01|2,25","2,01|2,25","1,51|2,00","1,52|2,02"
BANCOS-Marzo-2025.pdf,Sudameris Bank S.A.E.C.A.,F032025,"-|0,10","-|0,10","-|0,10","-|0,10","-|2,00","-|2,02","-|1,50","-|1,51","-|3,00","-|3,04","-|2,25","-|2,27","-|5,50","-|5,64","-|3,00","-|3,04"
BANCOS-Marzo-2025.pdf,Banco Itaú Paraguay S.A.,F032025,"0,01|4,91","0,01|5,02","0,01|3,22","0,01|3,27","5,43|5,51","5,57|5,65","3,93|4,00","4,00|4,07","5,51|5,77","5,65|5,93","4,00|4,04","4,07|4,12","5,87|6,22","6,03|6,40","4,04|4,26","4,12|4,34"
BANCOS-Marzo-2025.pdf,Banco Continental S.A.E.C.A.,F032025,"-|0,22","-|0,22","-|0,18","-|0,18","3,50|4,25","3,56|4,33","2,50|3,50","2,52|3,56","6,40|6,40","6,59|6,59","2,75|3,75","2,75|3,82","5,30|5,50","5,43|5,64","3,55|4,50","3,55|4,59"
BANCOS-Marzo-2025.pdf,Banco BASA S.A.,F032025,"-|0,01","-|0,01","-|0,01","-|0,01","-|4,54","-|4,64","-|4,07","-|4,15","-|4,58","-|4,68","-|4,06","-|4,14","-|6,03","-|6,20","-|4,33","-|4,42"
BANCOS-Marzo-2025.pdf,Banco Rio S.A.E.C.A.,F032025,"0,25|0,25","0,25|0,25","0,25|0,25","0,25|0,25","0,25|5,00","0,25|5,09","0,25|4,00","0,25|4,06","3,50|7,25","3,55|7,45","4,50|5,25","4,58|5,35","6,50|7,50","6,66|7,71","5,25|6,25","5,35|6,40"
BANCOS-Marzo-2025.pdf,Banco Familiar S.A.E.C.A.,F032025,"0,05|0,05","0,05|0,05","0,01|0,01","0,01|0,01","1,65|3,15","1,66|3,20","1,50|2,25","1,51|2,27","1,65|3,80","1,66|3,87","1,50|2,50","1,51|2,53","5,75|7,00","5,90|7,23","3,65|5,05","3,71|5,17"
BANCOS-Marzo-2025.pdf,Banco Atlas S.A.,F032025,"0,05|0,10","0,05|0,10","0,01|0,03","0,01|0,03","0,05|4,06","0,05|4,14","0,01|3,59","0,01|3,65","0,05|4,10","0,05|4,18","0,01|3,59","0,01|3,65","0,05|5,47","0,05|5,61","0,01|3,86","0,01|3,93"
BANCOS-Marzo-2025.pdf,Bancop S.A.,F032025,"0,10|0,35","0,10|0,35","0,05|0,15","0,05|0,15","1,00|5,60","1,00|5,75","0,50|3,10","0,50|3,14","1,00|7,50","1,00|7,76","0,50|5,25","0,50|5,38","5,60|7,90","5,75|8,19","3,10|5,70","3,14|5,85"
BANCOS-Marzo-2025.pdf,Interfisa Banco S.A.E.C.A.,F032025,"0,15|0,97","0,15|0,97","0,04|0,62","0,04|0,62","2,50|5,44","2,53|5,59","0,10|3,88","0,10|4,00","4,00|6,82","4,08|7,06","0,30|5,09","0,30|5,22","5,50|8,34","5,65|8,70","2,15|5,66","2,17|5,83"
BANCOS-Marzo-2025.pdf,Banco Solar S.A.E.,F032025,"0,15|3,50","0,15|3,56","0,10|2,00","0,10|2,02","1,75|4,75","1,76|4,85","1,75|3,75","1,76|3,82","6,15|7,00","6,33|7,23","3,30|5,00","3,35|5,12","6,50|7,85","6,70|8,14","4,75|5,85","4,85|6,01"
BANCOS-Marzo-2025.pdf,UENO Bank S.A.,F032025,"0,01|0,25","0,01|0,25","0,01|0,10","0,01|0,10","0,90|4,50","0,90|4,59","0,75|2,20","0,75|2,22","4,75|7,25","4,85|7,50","3,05|6,00","3,09|6,17","7,25|8,40","7,50|8,73","6,00|6,78","6,17|6,99"
BANCOS-Marzo-2025.pdf,ZETA Banco S.A.E.C.A.,F032025,"0,05|0,50","0,05|0,50","0,05|0,50","0,05|0,50","0,50|4,00","0,50|4,07","1,00|3,50","1,00|3,56","2,00|6,00","2,02|6,17","1,00|4,00","1,00|4,07","3,00|8,50","3,04|8,84","2,00|5,50","2,02|5,64"
BANCOS-Abril-2025.pdf,Banco Nacional de Fomento,F042025,"0,37|0,57","0,37|0,57","0,15|0,32","0,15|0,32","2,43|3,45","2,46|3,48","2,34|2,50","2,37|2,52","3,67|5,45","3,73|5,45","2,69|3,25","2,72|3,25","5,46|6,95","5,60|6,95","3,15|4,50","3,20|4,50"
BANCOS-Abril-2025.pdf,Banco de la Nación Argentina,F042025,"-|0,50","-|0,50","-|0,12","-|0,12","3,00|4,00","3,00|4,00","0,80|1,20","0,80|1,20","4,50|4,50","4,50|4,50","1,30|1,80","1,30|1,80","6,50|6,50","6,50|6,50","2,00|4,00","2,00|4,00"
BANCOS-Abril-2025.pdf,Banco GNB Paraguay S.A.,F042025,"-|0,01","-|0,01","-|0,01","-|0,01","2,50|4,00","2,53|4,07","1,05|1,50","1,06|1,51","4,00|5,00","4,07|5,13","1,50|2,00","1,51|2,02","5,00|6,00","5,13|6,18","2,00|3,00","2,02|3,04"
BANCOS-Abril-2025.pdf,Banco Do Brasil S.A.,F042025,"-|-","-|-","-|-","-|-","-|-","-|-","-|-","-|-","-|-","-|-","-|-","-|-","-|-","-|-","-|-","-|-"
BANCOS-Abril-2025.pdf,Citibank N.A.,F042025,"0,05|0,35","0,05|0,35","0,01|0,12","0,01|0,12","0,76|1,25","0,76|1,25","0,71|1,00","0,71|1,00","1,26|2,00","1,26|2,00","1,01|1,50","1,01|1,51","2,01|2,25","2,01|2,25","1,51|2,00","1,52|2,02"
BANCOS-Abril-2025.pdf,Sudameris Bank S.A.E.C.A.,F042025,"-|0,10","-|0,10","-|0,10","-|0,10","-|2,00","-|2,02","-|1,50","-|1,51","0,25|3,00","0,25|3,04","1,00|2,25","1,00|2,27","0,05|5,50","0,05|5,64","0,10|3,00","0,10|3,04"
BANCOS-Abril-2025.pdf,Banco Itaú Paraguay S.A.,F042025,"0,01|4,84","0,01|4,95","0,01|3,13","0,01|3,18","5,40|5,46","5,54|5,60","4,08|3,52","4,16|3,58","5,46|5,63","5,60|5,78","3,54|3,87","3,60|3,94","6,16|6,41","6,34|6,60","4,27|4,29","4,35|4,38"
BANCOS-Abril-2025.pdf,Banco Continental S.A.E.C.A.,F042025,"-|0,22","-|0,22","-|0,18","-|0,18","3,50|4,25","3,56|4,33","2,50|3,50","2,52|3,56","6,30|6,40","6,49|6,59","2,75|3,75","2,75|3,82","5,30|5,50","5,43|5,64","3,55|4,50","3,55|4,59"
BANCOS-Abril-2025.pdf,Banco BASA S.A.,F042025,"-|0,01","-|0,01","-|0,01","-|0,01","-|4,54","-|4,64","-|4,07","-|4,15","-|4,58","-|4,68","-|4,06","-|4,14","-|6,03","-|6,20","-|4,33","-|4,42"
BANCOS-Abril-2025.pdf,Banco Rio S.A.E.C.A.,F042025,"0,25|0,25","0,25|0,25","0,25|0,25","0,25|0,25","0,25|4,50","0,25|4,58","0,25|3,75","0,25|3,80","3,50|7,25","3,55|7,45","4,50|5,25","4,58|5,35","6,50|7,50","6,66|7,71","5,25|6,25","5,35|6,40"
BANCOS-Abril-2025.pdf,Banco Familiar S.A.E.C.A.,F042025,"0,05|0,05","0,05|0,05","0,01|0,01","0,01|0,01","1,65|3,15","1,66|3,20","1,50|2,25","1,51|2,27","1,65|3,80","1,66|3,87","1,50|2,50","1,51|2,53","5,75|7,00","5,90|7,23","3,65|5,05","3,71|5,17"
BANCOS-Abril-2025.pdf,Banco Atlas S.A.,F042025,"0,05|0,10","0,05|0,10","0,01|0,03","0,01|0,03","0,05|4,06","0,05|4,14","0,01|3,59","0,01|3,65","0,05|4,10","0,05|4,18","0,01|3,59","0,01|3,65","0,05|5,47","0,05|5,61","0,01|3,86","0,01|3,93"
BANCOS-Abril-2025.pdf,Bancop S.A.,F042025,"0,10|0,35","0,10|0,35","0,05|0,15","0,05|0,15","1,00|5,60","1,00|5,75","0,50|3,10","0,50|3,14","1,00|7,50","1,00|7,76","0,50|5,25","0,50|5,38","5,60|7,90","5,75|8,19","3,10|5,70","3,14|5,85"
BANCOS-Abril-2025.pdf,Interfisa Banco S.A.E.C.A.,F042025,"0,15|1,14","0,15|1,15","0,04|1,05","0,04|1,06","2,50|6,07","2,53|6,26","0,10|4,47","0,10|4,57","4,00|6,49","4,08|6,70","0,30|4,37","0,30|4,47","5,50|8,67","5,65|9,06","2,15|5,69","2,17|5,85"
BANCOS-Abril-2025.pdf,Banco Solar S.A.E.,F042025,"0,15|3,50","0,15|3,56","0,10|2,00","0,10|2,02","2,00|5,00","2,02|5,12","2,00|3,75","2,02|3,82","6,40|7,25","6,59|7,50","3,55|5,00","3,61|5,12","6,75|7,85","6,96|8,14","5,00|5,85","5,12|6,01"
BANCOS-Abril-2025.pdf,UENO Bank S.A.,F042025,"0,01|0,25","0,01|0,25","0,01|0,10","0,01|0,10","0,90|5,03","0,90|5,15","0,75|2,40","0,75|2,43","4,75|7,25","4,85|7,50","3,04|5,85","3,08|6,01","7,25|8,42","7,50|8,75","6,00|6,78","6,17|6,99"
BANCOS-Abril-2025.pdf,ZETA Banco S.A.E.C.A.,F042025,"0,05|0,50","0,05|0,50","0,05|0,50","0,05|0,50","0,50|4,00","0,50|4,07","1,00|3,50","1,00|3,56","2,00|6,00","2,02|6,17","1,00|4,00","1,00|4,07","3,00|8,50","3,04|8,84","2,00|5,50","2,02|5,64"
FINANCIERAS-Abril-2025.pdf,Financiera Paraguayo - Japonesa S.A.E.C.A.,F042025,"0,01|0,50","0,01|0,50","0,01|0,35","0,01|0,35","1,00|1,50","1,00|1,51","-|-","-|-","2,00|4,00","2,02|4,06","1,50|2,00","1,51|2,02","4,00|6,00","4,06|6,14","2,00|3,50","2,02|3,55"
FINANCIERAS-Abril-2025.pdf,Finlatina S.A. de Finanzas,F042025,"0,13|0,20","0,13|0,34","0,03|0,03","0,03|0,03","2,50|5,96","3,69|6,11","0,80|2,00","0,80|2,02","3,50|6,72","5,13|6,93","1,70|4,87","1,80|4,98","5,00|7,99","7,25|8,29","3,30|6,10","3,40|6,28"
FINANCIERAS-Abril-2025.pdf,Tu Financiera S.A.,F042025,"0,10|0,30","0,10|0,30","0,01|0,30","0,01|0,30","2,00|4,00","2,02|4,07","0,30|1,10","0,30|1,11","4,00|4,89","4,07|5,00","3,00|3,93","3,04|4,00","7,10|8,55","7,34|8,89","3,55|5,00","3,61|5,12"
FINANCIERAS-Abril-2025.pdf,FIC S.A. de Finanzas,F042025,"0,01|0,02","0,01|0,02","-|0,25","-|0,25","1,00|5,29","1,00|5,38","1,00|1,97","1,00|1,99","5,30|7,30","5,43|7,55","1,98|3,24","2,00|3,29","7,31|8,45","7,56|8,79","3,25|6,07","3,30|6,24"
